,Basic Chemicals Percentage,Cement Perc,Ceramics perc,Electric arc perc,Food perc,Glass perc,steel perc,machinery perc,other industrial perc,other chemicals perc,other non ferr perc,paper perc,Pharma perc,printing perc,pulp perc,textile perc,transport es perc,wood perc
ammonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
biomass,0.000610753382110473,0.314057142857143,0,0,0.0503256364712848,0,0,0.0105553005966039,0.0283196979232222,0.000616998303254666,0,0.302161547212742,0.00695249130938586,0.0012814176140004,0.573875293627903,0.00145624641454481,0,0.730520714557203
electricity,0.0685392535015891,0.0761142857142857,0.135642334759211,0.603685742646395,0.336885731201895,0.350314026517795,0.0951461423681208,0.263882514915099,0.366058317600168,0.623168286287213,0.583383323335333,0.156996587030717,0.711471610660487,0.928112471854577,0.387440159376765,0.528220290366709,0.698125404007757,0.151273280121627
gas,0.10799985986603,0.000914285714285714,0.403477300952118,0.365967373757967,0.557193605683837,0.648290300069784,0.338804529096814,0.623221661312529,0.311516677155444,0.17121702915317,0.409718056388722,0.352673492605233,0.202780996523754,0.0695626704743076,0.0050251256281407,0.462027271523763,0.275371687136393,0.118206005321171
heat,0.0355211622229693,0,0,0,0.0328596802841918,0,0,0,0,0,0,0.0821387940841866,0,0,0,0.00304487886677552,0,0
liquid,0.765384262700638,0.0512,0.0517455498827101,0.00802120271250339,0.00828892835997632,0.00139567341242149,0.00561748442025805,0.102340523175769,0.26641493601846,0.204997686256363,0.00689862027594481,0.0357224118316269,0.0787949015063731,0.00104344005711461,0.0000594689423448604,0.00525131282820705,0.02650290885585,0
other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
solid,0.0211218877979872,0.2416,0.409134814405961,0.0223256808831344,0.0144464179988159,0,0.560431844114807,0,0.0276903713027061,0,0,0.0530147895335609,0,0,0,0,0,0
waste,0.00082282052867661,0.316114285714286,0,0,0,0,0,0,0,0,0,0.017292377701934,0,0,0.0335999524248461,0,0,0
